,Accuracy,AUC,Precision,Recall,F1 Score,MCC,TP,FP,FN,TN
Logistic Regression,0.7971339005821765,0.8729348831597151,0.7956989247311828,0.7693761814744802,0.7823161941374339,0.5927735737935427,814,209,244,966
Decision Tree,0.8069861173309449,0.8733024976873266,0.7619047619047619,0.8620037807183365,0.8088691796008869,0.6202138848318366,912,285,146,890
KNN,0.7899686520376176,0.8520387724731529,0.796576032225579,0.7476370510396976,0.7713310580204779,0.5784811934309146,791,202,267,973
Naive Bayes,0.7514554411106136,0.8109528214616095,0.7215859030837004,0.774102079395085,0.746922024623803,0.5045412758760058,819,316,239,859
Random Forest,0.8557993730407524,0.9157917387282308,0.8262411347517731,0.8809073724007561,0.8526989935956084,0.7131558008789023,932,196,126,979
XGBoost,0.8571428571428571,0.9264135462333588,0.8319856244384546,0.8752362948960303,0.8530631045601106,0.7151072494153867,926,187,132,988
